a,1=工
mua,1=嵯
muj,1=嶂
muk,1=赔
muv,1=赚
mux,1=嵫
muy,1=罔
mw,1=内
mwf,1=赊
mwg,1=嶝
mwgj,1=嵛
mwr,1=岚
mww,1=肉
mwwk,1=峪
mwy,1=崔
mwyc,1=岭
mwyn,1=岑
mx,1=幽
mxt,1=嶷
my,1=丹
myb,1=崞
mye,1=彤
mym,1=嵩
myn,1=赅
n,1=民
na,1=异
nae,1=展
nag,1=惬
naj,1=羿
najg,1=惜
nal,1=懵
nan,1=屉
nar,1=怄
nat,1=懂
natn,1=愍
naw,1=殿
nawe,1=臀
nay,1=慌
nb,1=敢
nbb,1=孱
nbc,1=慑
nbm,1=屈
nbs,1=屙
nbtn,1=憨
nc,1=怪
ncd,1=惨
ncg,1=怿
nck,1=怡
ncw,1=悛
nd,1=居
nda,1=惰
nddy,1=恹
ndg,1=怙
ndgn,1=憾
ndh,1=怀
ndj,1=剧
ndm,1=怖
ndn,1=忧
ndo,1=恢
ne,1=尾
nf,1=导
nfa,1=愤
nfc,1=层
nfce,1=恸
nfcy,1=怯
nfcy,2=忮
nfd,1=懦
nff,1=恃
nfh,1=慎
nfi,1=慰
nfif,1=尉
nfio,1=熨
nfp,1=迅
nfpb,1=悖
nfq,1=怃
nft,1=屠
nfuf,1=悻
nfy,1=忖
ng,1=那
ngc,1=屋
ngd,1=刁
nge,1=情
ngh,1=怔
ngj,1=恒
ngk,1=司
ngkg,1=悟
ngu,1=怦
ngx,1=愫
nh,1=收
nhd,1=眉
nhdd,1=悱
nhe,1=胥
nhf,1=遐
nhg,1=丑
nhi,1=疋
nhj,1=蛋
nhjh,1=悼
nhq,1=鹛
nhw,1=惧
nhy,1=疏
ni,1=尿
nie,1=悄
nied,1=屑
nig,1=恍
nim,1=惝
nit,1=犀
nj,1=慢
njc,1=悭
njf,1=悍
njfg,1=悝
njg,1=怛
njlg,1=愠
njq,1=惕
njt,1=惺
njy,1=憬
nk,1=避
nkc,1=悒
nkh,1=忡
nkhm,1=愦
nkk,1=愕
nku,1=臂
nkue,1=襞
nkuf,1=壁
nkuh,1=辟
nkuq,1=鐾
nkur,1=擘
nkus,1=檗
nkuv,1=劈
nkuv,2=嬖
nkuy,1=璧
nkuy,2=譬
nkuy,3=甓
nl,1=惭
nla,1=翼
nls,1=悃
nly,1=愣
nm,1=届
nmdj,1=惴
nmdy,1=怏
nmf,1=惆
nmg,1=恫
nmh,1=刷
nmj,1=恻
nmn,1=恺
nmu,1=惘
nn,1=已
nna,1=巽
nnd,1=毋
nng,1=己
nngn,1=巳
nngt,1=尸
nnh,1=书
nnhg,1=忸
nnk,1=局
nnl,1=乙
nnn,1=忆
nnu,1=忌
nnv,1=乜
nnw,1=快
nnx,1=怩
nny,1=羽
no,1=屡
noh,1=惦
noi,1=屎
novh,1=慵
novi,1=慷
np,1=忱
npl,1=恽
npqb,1=惋
nq,1=懈
nqj,1=恂
nqr,1=惚
nr,1=怕
nrgg,1=惶
nrh,1=忻
nrn,1=忾
nrq,1=愧
ns,1=懒
nskg,1=悚
nss,1=憷
nsy,1=怵
nt,1=改
nta,1=怅
ntb,1=悸
ntd,1=恬
nte,1=必
ntf,1=忏
ntfc,1=屐
ntfh,1=忤
ntg,1=性
nth,1=屣
nthf,1=怍
ntj,1=虱
ntjt,1=愎
ntk,1=属
ntkg,1=恪
ntl,1=恤
ntm,1=懊
nto,1=愀
ntov,1=屦
ntt,1=履
ntx,1=悔
nu,1=习
nua,1=屏
nudu,1=买
nuf,1=翌
nui,1=飞
nuj,1=惮
nujf,1=憧
nuk,1=悦
nul,1=憎
nuu,1=羼
nuv,1=慊
nux,1=悌
nuy,1=悯
nv,1=恨
nva,1=慨
nvk,1=怊
nvt,1=忉
nvv,1=尻
nw,1=恰
nwb,1=怆
nwc,1=忪
nwe,1=戮
nweg,1=鹨
nwg,1=愉
nwy,1=惟
nwya,1=戳
nwyc,1=怜
nwyf,1=翟
nwyo,1=憔
nx,1=尼
nxj,1=怫
nxm,1=惯
nxx,1=屁
ny,1=心
nyh,1=忄
nyhy,1=忭
nyi,1=尺
nyiy,1=惊
nyj,1=昼
nyk,1=咫
nyl,1=懔
nyn,1=忙
nyp,1=迟
nyr,1=恼
nyu,1=尽
nyw,1=翠
nywf,1=悴
o,1=为
oa,1=席
oac,1=度
oak,1=廑
oan,1=炬
oanw,1=炼
oany,1=庹
oao,1=庶
oaog,1=鹧
oaop,1=遮
oat,1=烧
oaw,1=粪
oawy,1=烘
ob,1=籽
obh,1=邝
obh,2=邺
obx,1=鬯
oc,1=序
oca,1=烃
ocd,1=糁
ocn,1=粑
ocns,1=糅
od,1=类
ode,1=糊
odeg,1=煳
odg,1=炻
odgq,1=粝
odi,1=庆
odj,1=庵
odm,1=烦
odui,1=燎
odx,1=庞
oe,1=粗
oel,1=爝
oew,1=庾
of,1=庄
ofc,1=庋
ofdj,1=糯
ofg,1=灶
ofn,1=炜
ofq,1=庑
ofs,1=煤
oft,1=烤
og,1=精
ogb,1=炖
ogj,1=粳
ogk,1=焐
ogm,1=炳
ogmj,1=糟
ogq,1=廒
oh,1=业
ohj,1=焯
ohk,1=店
ohkg,1=粘
oi,1=应
oid,1=黻
ois,1=黼
oit,1=炒
oiu,1=黹
oj,1=烛
oja,1=爆
ojf,1=焊
ojff,1=廛
ojl,1=熳
oju,1=煜
ok,1=燥
okw,1=炽
ol,1=库
old,1=烟
olg,1=煨
om,1=灿
omd,1=庙
omh,1=籼
omk,1=炯
on,1=断
onh,1=糈
onrg,1=熠
onrt,1=炀
ont,1=废
onw,1=炔
onwe,1=廖
ony,1=烬
oo,1=炎
oob,1=郯
ooj,1=剡
ooo,1=火
ooou,1=焱
oov,1=糖
oovi,1=糠
op,1=迷
opf,1=烷
opfi,1=粽
opg,1=煊
opw,1=熔
oq,1=底
oqd,1=燃
oqe,1=焰
oqeg,1=廨
oqg,1=遴
oqgb,1=粼
oqm,1=焕
oqn,1=炮
oqnv,1=庖
oqw,1=炊
oqy,1=灼
oqyl,1=熘
or,1=粕
ord,1=烯
orgg,1=煌
ort,1=庳
os,1=床
osg,1=粞
osh,1=灯
oss,1=麻
ossc,1=魔
ossc,2=麽
ossd,1=磨
ossd,2=靡
osse,1=麾
ossi,1=縻
osso,1=糜
ossr,1=摩
ot,1=庭
otd,1=烽
otf,1=糙
oth,1=炸
othc,1=煅
othd,1=糗
othj,1=糌
othn,1=熄
otk,1=烙
otm,1=燠
otn,1=烁
oto,1=燔
otu,1=烀
oty,1=敉
ou,1=粒
oud,1=烂
oue,1=燧
ouf,1=料
oufb,1=凿
ougo,1=糕
ouh,1=烊
ouk,1=庠
oukg,1=焙
oun,1=焖
ouv,1=廉
oux,1=糍
ov,1=数
ove,1=庸
ovf,1=娄
ovh,1=唐
ovi,1=康
ovp,1=煺
ovw,1=庚
ovwm,1=赓
ow,1=府
owb,1=炝
owfc,1=烩
owfw,1=腐
own,1=糇
ows,1=庥
owv,1=粉
oww,1=座
owwe,1=膺
owwg,1=鹰
owx,1=烨
owy,1=焓
ox,1=鹿
oxk,1=糨
oxv,1=庀
oxx,1=庇
oxxf,1=麝
oxxg,1=麟
oxxg,2=麈
oxxo,1=麋
oxxq,1=鏖
oxxt,1=麇
oxxw,1=麒
oxxw,2=麂
oy,1=广
oyb,1=廓
oygg,1=炷
oyl,1=廪
oyn,1=炉
oyna,1=煸
oyne,1=庐
oynn,1=煽
oyt,1=米
oyu,1=熵
oyv,1=粮
oyvb,1=廊
oyw,1=炕
oywf,1=粹
oyx,1=炫
oyy,1=灬
p,1=这
pa,1=赛
pah,1=宦
paj,1=寞
pam,1=宽
paw,1=寒
pawe,1=褰
pawf,1=塞
pawg,1=骞
pawh,1=蹇
pawr,1=搴
paws,1=寨
pawy,1=謇
pb,1=字
pd,1=害
pdc,1=宏
pde,1=寡
pdef,1=宥
pdf,1=宕
pdfe,1=宸
pdh,1=豁
pdhj,1=割
pds,1=寄
pdu,1=寮
pdx,1=宠
pe,1=农
peg,1=宜
pf,1=守
pfi,1=宗
pfq,1=完
pfqc,1=寇
pfqf,1=冠
pg,1=家
pgc,1=室
pgey,1=冢
pgf,1=宇
pgh,1=定
pgj,1=宣
pgk,1=富
pgm,1=寅
pgn,1=写
pgy,1=宝
ph,1=寂
pi,1=宵
pj,1=审
pjd,1=幂
pjm,1=寓
pju,1=冥
pjv,1=宴
pk,1=宫
pl,1=军
plb,1=郓
plby,1=皲
plg,1=寰
pm,1=宙
pn,1=官
pne,1=甯
pnp,1=逭
pnt,1=密
pntj,1=蜜
pntr,1=宓
pnw,1=寥
pny,1=廴
po,1=灾
pp,1=之
pq,1=宛
pqbj,1=剜
pqk,1=冤
pqq,1=鸩
pr,1=宾
ps,1=宁
psu,1=宋
pt,1=客
pta,1=宅
ptf,1=宪
ptg,1=牢
ptkm,1=额
pu,1=实
pua,1=褡
pub,1=被
puc,1=衩
pucc,1=裰
pudf,1=褥
pue,1=衫
puf,1=褚
pufh,1=褂
pufj,1=襦
pufu,1=寐
pufy,1=衬
pug,1=袜
puge,1=裱
pugk,1=寤
puh,1=补
pui,1=裆
puj,1=宰
pujg,1=袒
pujl,1=褴
pujn,1=褐
pujr,1=裼
pujs,1=裸
puk,1=裎
pul,1=裢
pum,1=袖
pumw,1=衲
pun,1=袂
pund,1=裾
punr,1=褶
puo,1=裤
puov,1=褛
puq,1=袍
pur,1=裨
purw,1=褫
pus,1=襟
pusr,1=襻
put,1=袄
putf,1=衽
putk,1=袼
puu,1=袢
puue,1=褙
puuj,1=裥
puv,1=初
puvc,1=寝
puvk,1=裙
puvp,1=褪
puvy,1=裉
puw,1=裕
puwd,1=袱
puwg,1=裣
puwk,1=袷
puwn,1=衿
puws,1=褓
pux,1=襁
puy,1=衤
puya,1=褊
pv,1=安
pvb,1=宄
pvs,1=案
pw,1=空
pwa,1=穿
pwan,1=窍
pwav,1=窃
pwb,1=冗
pwbg,1=窿
pwd,1=突
pwdj,1=宿
pwe,1=穷
pwf,1=罕
pwfd,1=窦
pwfi,1=察
pwg,1=窥
pwgf,1=窒
pwgn,1=窀
pwj,1=窠
pwk,1=窝
pwkh,1=窜
pwm,1=帘
pwn,1=窟
pwo,1=窭
pwq,1=窕
pwqu,1=穸
pwr,1=窳
pwt,1=窗
pwtb,1=窑
pwtf,1=窄
pwtk,1=窖
pwtp,1=窆
pwu,1=穴
pwuj,1=窨
pwup,1=邃
pwv,1=究
pwvk,1=窘
pww,1=容
pwwj,1=窬
pwx,1=穹
pwxe,1=窈
pwy,1=鹤
px,1=它
py,1=社
pyb,1=祁
pyd,1=祷
pydd,1=禊
pydg,1=祜
pydw,1=祺
pydy,1=祓
pye,1=祖
pyfc,1=祛
pyfh,1=祎
pyfk,1=禧
pyg,1=福
pygd,1=祆
pyh,1=祯
pyhg,1=祉
pyj,1=神
pyk,1=祝
pykw,1=祸
pym,1=视
pyn,1=冖
pynk,1=祠
pynn,1=礼
pynn,2=祀
pyny,1=辶
pyq,1=祗
pyqi,1=祢
pyqi,2=祧
pyr,1=祈
pyt,1=祚
pyu,1=祥
pyuf,1=禅
pyuo,1=禚
pyv,1=禄
pyy,1=宀
pyye,1=禳
pyyy,1=礻
q,1=我
qa,1=氏
qad,1=锘
qah,1=铘
qaj,1=错
qajd,1=镆
qajf,1=昏
qak,1=钷
qal,1=锚
qan,1=钺
qang,1=钜
qany,1=铽
qap,1=铹
qat,1=铙
qaw,1=镬
qay,1=邸
qayg,1=鸱
qayi,1=氐
qb,1=迎
qbc,1=镊
qbg,1=铒
qbh,1=钌
qbhf,1=眢
qbl,1=锰
qbn,1=怨
qbq,1=鸳
qbs,1=锕
qby,1=铍
qc,1=色
qcg,1=铎
qci,1=勾
qcn,1=钯
qcy,1=钗
qd,1=然
qdb,1=危
qdc,1=钹
qde,1=铕
qdf,1=锛
qdg,1=钴
qdh,1=锲
qdhy,1=钚
qdm,1=钸
qdn,1=铖
qdt,1=铸
qdu,1=镣
qduw,1=镢
qdw,1=詹
qdy,1=钛
qe,1=角
qef,1=锊
qeg,1=钥
qegc,1=锾
qege,1=锄
qeh,1=锼
qei,1=觥
qejy,1=触
qen,1=觖
qer,1=觚
qes,1=觫
qet,1=钐
qetr,1=觞
qeu,1=斛
qeuf,1=觯
qev,1=解
qevj,1=蟹
qevp,1=邂
qf,1=针
qfg,1=钳
qfg,2=钍
qfhw,1=镇
qfl,1=镭
qft,1=锗
qftn,1=铐
qftx,1=铑
qg,1=钱
qgac,1=鹱
qgae,1=鳓
qgas,1=鲽
qgb,1=印
qgbc,1=鲰
qgbn,1=钝
qgc,1=鲐
qgcj,1=鳋
qgd,1=鸟
qgde,1=鲔
qgdj,1=鲕
qgdw,1=鳜
qgdy,1=鱿
qgdy,2=鲅
qge,1=鲵
qgeb,1=鳐
qgeg,1=锖
qgf,1=鱼
qgff,1=鲑
qgfj,1=鳍
qgfk,1=鲒
qgfm,1=鲼
qgft,1=鲮
qgfv,1=鳕
qgg,1=鲡
qgge,1=鲭
qggf,1=鲆
qggr,1=鲠
qgh,1=舛
qghd,1=鲱
qghg,1=钲
qghk,1=鲇
qghn,1=钙
qghn,2=鲈
qgj,1=鲁
qgjc,1=鳗
qgjf,1=鲤
qgjf,2=鲥
qgjf,3=鲣
qgjj,1=鲳
qgjn,1=鳎
qgjx,1=鲲
qgk,1=鳄
qgkh,1=镉
qgkl,1=匐
qgl,1=鳃
qgld,1=鲴
qgli,1=鳏
qglp,1=鲢
qgm,1=鲷
qgmu,1=鳢
qgn,1=鲺
qgo,1=鳞
qgoh,1=鳙
qgp,1=鸵
qgpq,1=鲩
qgq,1=鲍
qgr,1=鳇
qgs,1=桀
qgsi,1=鳔
qgt,1=稣
qgti,1=鲧
qgto,1=鳅
qgts,1=鲦
qgtt,1=鳆
qgu,1=鲜
qgud,1=铗
qguf,1=鳟
qguk,1=鳝
qgur,1=鲛
qgus,1=铼
qgv,1=鲫
qgvf,1=鲟
qgvl,1=鲻
qgw,1=鲶
qgwf,1=鲋
qgy,1=鲸
qgya,1=鳊
qgyj,1=鲚
qgyt,1=鲂
qgyy,1=钰
qh,1=外
qhg,1=钼
qhk,1=钻
qhy,1=钋
qi,1=尔
qie,1=销
qif,1=鼗
qig,1=玺
qii,1=兆
qim,1=锁
qin,1=铴
qip,1=逃
qipf,1=镗
qipi,1=迩
qit,1=钞
qiv,1=铛
qj,1=旬
qjb,1=郇
qjc,1=铿
qjf,1=锂
qjg,1=钽
qjgf,1=锝
qjh,1=钊
qjl,1=镘
qjn,1=龟
qjq,1=锡
qjs,1=锞
qjx,1=锟
qk,1=名
qkd,1=句
qke,1=象
qket,1=劬
qkg,1=锃
qkh,1=钏
qkhh,1=钟
qkk,1=铝
qkkn,1=锷
qkm,1=锅
qkmh,1=铞
qkq,1=免
qkqe,1=勉
qkqg,1=鸲
qkqp,1=逸
qkqq,1=够
qkqy,1=兔
ql,1=甸
qldg,1=锢
qldy,1=铟
qlg,1=钿
qlh,1=钾
qln,1=锶
qlp,1=链
qlq,1=锣
qlqj,1=镯
qlx,1=镙
qm,1=负
qmd,1=奂
qmg,1=铀
qmgk,1=铜
qmj,1=铡
qmk,1=岛
qmn,1=铠
qmr,1=钢
qmw,1=钠
qmy,1=钡
qn,1=包
qna,1=饶
qnad,1=馍
qnag,1=馑
qnat,1=馓
qnb,1=饣
qnbg,1=饵
qnc,1=饴
qnd,1=锯
qne,1=馁
qnec,1=馊
qnf,1=饽
qng,1=饯
qnge,1=馕
qngn,1=饨
qnh,1=钮
qnhg,1=镅
qnj,1=蚀
qnjc,1=馒
qnjh,1=刨
qnjx,1=馄
qnk,1=馈
qnn,1=钇
qnn,2=钆
qnnk,1=饲
qnnk,2=锔
qnnr,1=饧
qnnw,1=馔
qnp,1=馆
qnq,1=饮
qnqe,1=馅
qnql,1=馏
qnqn,1=饱
qnqu,1=馋
qnr,1=饭
qnrn,1=饩
qns,1=馇
qnt,1=饰
qntd,1=饫
qnte,1=饬
qntf,1=饪
qntk,1=饷
qntt,1=铋
qnty,1=饿
qnu,1=饼
qnug,1=馐
qnur,1=饺
qnw,1=饥
qnws,1=馀
qnx,1=铌
qo,1=炙
qoa,1=镀
qoo,1=锬
qoug,1=镤
qouw,1=镰
qov,1=镛
qovg,1=镂
qox,1=镳
qoy,1=钬
qp,1=锭
qpge,1=镓
qpgw,1=夤
qpr,1=镔
qpv,1=铵
qpw,1=镲
qpwh,1=镩
qpx,1=铊
qq,1=多
qqc,1=钩
qqcn,1=铯
qqg,1=镥
qqi,1=铫
qqk,1=铭
qqq,1=金
qqqf,1=鑫
qqr,1=锪
qqt,1=铆
qqug,1=钧
qqv,1=铮
qqw,1=钦
qqy,1=钓
qqyl,1=镏
qr,1=勿
qrb,1=匈
qrc,1=钣
qrg,1=铂
qrj,1=刎
qrm,1=锦
qrn,1=忽
qrq,1=锨
qrs,1=铩
qry,1=匆
qs,1=钉
qsf,1=镖
qsg,1=钵
qsi,1=匍
qsj,1=镡
qsk,1=钶
qsu,1=枭
qsy,1=铺
qt,1=儿
qta,1=猫
qtad,1=狨
qtaj,1=猎
qtay,1=獾
qtb,1=犯
qtbh,1=卯
qtbi,1=狲
qtbl,1=猛
qtbt,1=锈
qtc,1=犸
qtcq,1=狁
qtcs,1=猱
qtct,1=狻
qtd,1=锋
qtde,1=猢
qtdi,1=獠
qtdk,1=猗
qtdw,1=獗
qtdy,1=犹
qte,1=狙
qteq,1=猊
qtf,1=猿
qtfc,1=铥
qtfe,1=锸
qtfh,1=钎
qtfh,2=犴
qtfj,1=猪
qtfk,1=锆
qtfp,1=铤
qtfq,1=铣
qtfs,1=橥
qtfy,1=铢
qtg,1=铁
qtgd,1=狭
qtge,1=猜
qtgf,1=锤
qtgf,2=锺
qtgg,1=狂
qtgn,1=钅
qtgp,1=逛
qth,1=锻
qths,1=镍
qtj,1=独
qtjf,1=狸
qtjg,1=猩
qtjh,1=狮
qtjj,1=猖
qtjs,1=猓
qtk,1=铬
qtke,1=狷
qtl,1=猥
qtle,1=猬
qtlh,1=狎
qtlq,1=猡
qtm,1=狈
qtme,1=猾
qtn,1=勹
qtng,1=钨
qtng,2=狃
qtnh,1=猸
qtni,1=铄
qtny,1=夕
qto,1=狄
qtop,1=逖
qtot,1=犷
qtoy,1=锹
qtp,1=狞
qtpf,1=狩
qtq,1=狗
qtqg,1=獬
qtqh,1=狰
qtqn,1=狍
qtr,1=狐
qtry,1=锇
qts,1=獭
qtsg,1=猹
qtt,1=犭
qttj,1=猁
qtto,1=獯
qtu,1=狡
qtuj,1=獐
qtuq,1=獍
qtv,1=狠
qtvb,1=卿
qtvn,1=犰
qtw,1=猴
qtwc,1=狯
qtwg,1=猃
qtwk,1=猞
qtws,1=狳
qtx,1=猕
qtxf,1=狴
qtxj,1=狒
qty,1=狱
qtyf,1=猝
qtyg,1=狺
qtyv,1=狼
qu,1=匀
quf,1=钭
qug,1=镁
quga,1=锎
qugb,1=锩
quh,1=锌
quj,1=镜
qujg,1=锏
qujn,1=镱
quk,1=锐
qukg,1=锫
qun,1=钔
quo,1=镨
quq,1=锵
qur,1=铰
qus,1=镧
qut,1=铲
quw,1=镒
qux,1=锑
qv,1=争
qvb,1=邹
qvby,1=皱
qvf,1=刍
qvg,1=钕
qvgp,1=键
qvk,1=铷
qvl,1=锱
qvn,1=急
qvp,1=锓
qvt,1=煞
qvw,1=雏
qvy,1=银
qw,1=欠
qwb,1=凫
qwg,1=铨
qwgk,1=铪
qwgr,1=镎
qwgu,1=镫
qwk,1=铅
qww,1=锉
qwx,1=铧
qwy,1=锥
qwyb,1=镌
qwyc,1=铃
qwyn,1=钤
qwyv,1=飧
qwyy,1=钒
qx,1=锴
qxj,1=镄
qxk,1=镪
qy,1=久
qyb,1=镦
qyc,1=铳
qyck,1=锍
qyd,1=訇
qye,1=铱
qyeu,1=袅
qyey,1=锿
qyi,1=勺
qyk,1=镶
qym,1=镐
qymh,1=铈
qyo,1=灸
qyt,1=钫
qytb,1=孵
qytd,1=镞
qyth,1=镟
qyty,1=卵
qyu,1=镑
qyud,1=镝
qyv,1=贸
qyvl,1=留
qyvp,1=遛
qyvy,1=锒
qyw,1=钪
qyx,1=铉
r,1=的
ra,1=找
raa,1=拭
rab,1=皂
rae,1=撒
rag,1=扛
raj,1=措
rajd,1=摸
rajv,1=揠
ral,1=描
ran,1=拒
rans,1=揲
ranw,1=拣
rap,1=捞
rar,1=抠
rat,1=挠
raw,1=拱
rawk,1=搭
raws,1=搽
rb,1=报
rbb,1=揶
rbcc,1=摄
rbe,1=氖
rbh,1=邱
rbi,1=拯
rbk,1=凶
rbm,1=拙
rbt,1=扔
rby,1=披
rc,1=反
rca,1=氢
rcah,1=拚
rcc,1=掇
rccs,1=搡
rcd,1=掺
rce,1=捅
rcg,1=择
rck,1=抬
rcn,1=把
rcnh,1=抒
rcns,1=揉
rcp,1=返
rct,1=挨
rcw,1=摊
rcy,1=瓜
rcyg,1=瓞
rcyj,1=搔
rd,1=拓
rdb,1=扼
rdc,1=拔
rdcb,1=郄
rde,1=肴
rdf,1=挎
rdfe,1=振
rdff,1=捱
rdfh,1=拜
rdfi,1=捺
rdfj,1=皋
rdfn,1=翱
rdgn,1=撼
rdj,1=掩
rdm,1=希
rdmb,1=郗
rdmw,1=欷
rdmy,1=颀
rdn,1=扰
rdp,1=挞
rdq,1=氪
rds,1=掎
rdu,1=撩
rduw,1=撅
rdw,1=捧
rdwd,1=揍
rdwr,1=撕
rdx,1=拢
re,1=拥
ree,1=撬
ref,1=捋
reg,1=援
rehc,1=搜
rep,1=授
ret,1=摇
rf,1=质
rfc,1=技
rff,1=持
rffg,1=挂
rfh,1=盾
rfhp,1=遁
rfj,1=擀
rfk,1=拮
rfkm,1=撷
rfl,1=擂
rfn,1=抟
rfp,1=挝
rfq,1=抚
rft,1=拷
rfw,1=攉
rg,1=后
rgb,1=卮
rgd,1=掭
rge,1=氰
rgf,1=皇
rgg,1=撵
rgh,1=扌
rgke,1=攮
rgkg,1=捂
rgkp,1=逅
rgo,1=氩
rgp,1=遑
rgs,1=抹
rgu,1=挟
rguf,1=抨
rgv,1=捷
rgy,1=扶
rh,1=看
rhd,1=排
rhe,1=掳
rhg,1=扯
rhh,1=攫
rhj,1=掉
rhk,1=拈
rhn,1=摅
rhy,1=扑
rhyc,1=爬
rhyi,1=爪
ri,1=泉
rie,1=捎
rip,1=撑
ripq,1=搅
rit,1=抄
rity,1=撇
riv,1=挡
rj,1=提
rjb,1=撮
rjf,1=捏
rjfh,1=捍
rjg,1=担
rjh,1=刈
rjhh,1=抻
rjk,1=氘
rjl,1=氲
rjn,1=拽
rjq,1=揭
rjt,1=揽
rk,1=扣
rkb,1=揖
rkc,1=挹
rke,1=捐
rkej,1=捌
rket,1=拐
rkh,1=捉
rkk,1=氚
rkks,1=操
rkm,1=损
rl,1=押
rld,1=氤
rldn,1=摁
rlf,1=摆
rlg,1=擐
rlgy,1=掴
rls,1=捆
rlt,1=撂
rlx,1=摞
rm,1=抽
rmd,1=揣
rmh,1=帛
rmj,1=岳
rmk,1=氙
rmm,1=撄
rmn,1=皑
rmw,1=摧
rn,1=所
rna,1=抿
rnae,1=搌
rnb,1=掘
rnbt,1=撖
rnd,1=据
rng,1=握
rngb,1=挪
rnh,1=扭
rnk,1=擗
rnn,1=扎
rnnw,1=撰
rnr,1=扬
rnrg,1=摺
rnt,1=拨
rnu,1=摒
rnw,1=抉
rnwy,1=擢
rny,1=拟
ro,1=扩
roa,1=摭
roh,1=掂
roo,1=氮
rov,1=搂
rovk,1=搪
rovt,1=擞
rp,1=近
rpd,1=迫
rpf,1=皖
rpg,1=揎
rpl,1=挥
rpr,1=摈
rps,1=拧
rpv,1=按
rpvd,1=氨
rpw,1=控
rpwh,1=撺
rpwi,1=擦
rpwn,1=挖
rpws,1=探
rq,1=换
rqa,1=抵
rqb,1=抑
rqc,1=鬼
rqcc,1=魑
rqce,1=魈
rqcf,1=魁
rqcf,2=魅
rqcn,1=魍
rqcw,1=魉
rqcy,1=魃
rqe,1=掐
rqg,1=撸
rqi,1=挑
rqk,1=拘
rqkq,1=挽
rqku,1=搀
rqm,1=捣
rqn,1=抱
rqnq,1=兜
rqo,1=掬
rqq,1=揿
rqt,1=掏
rqv,1=挣
rqw,1=欣
rr,1=折
rrc,1=扳
rrcy,1=皈
rrg,1=拍
rrhw,1=搋
rrhy,1=抓
rrj,1=蜇
rrk,1=哲
rrkh,1=踅
rrp,1=逝
rrq,1=掀
rrqc,1=魄
rrr,1=白
rrt,1=捭
rru,1=爻
rry,1=拆
rryf,1=誓
rs,1=打
rsa,1=弑
rsf,1=搏
rsj,1=刹
rsjg,1=揸
rsu,1=杀
rsy,1=捕
rt,1=手
rta,1=托
rtb,1=拖
rtd,1=括
rtdj,1=挢
rte,1=氕
rtf,1=卑
rtfb,1=郫
rtfe,1=插
rtfg,1=鹎
rtfh,1=扦
rtfk,1=皓
rtfm,1=攒
rtfp,1=挺
rtg,1=气
rtgf,1=捶
rth,1=丘
rthi,1=攥
rthj,1=擤
rto,1=播
rtol,1=皤
rtoy,1=揪
rtr,1=乒
rtt,1=斤
rtu,1=搬
rtui,1=氡
ru,1=拉
rua,1=拼
ruag,1=搓
rub,1=搠
rud,1=拦
rudb,1=掷
ruf,1=抖
rugh,1=拌
ruj,1=撞
rujf,1=掸
rujg,1=揞
ruk,1=氧
rukg,1=掊
run,1=扪
rur,1=皎
rus,1=撙
rut,1=搁
ruv,1=接
ruvw,1=搛
rv,1=扫
rve,1=抛
rvi,1=氯
rvk,1=招
rvn,1=殷
rvq,1=拶
rvt,1=捃
rvy,1=执
rvye,1=势
rvyf,1=垫
rvyg,1=鸷
rvyi,1=絷
rvyj,1=蛰
rvym,1=贽
rvyo,1=热
rvyr,1=挚
rw,1=兵
rwb,1=抢
rwc,1=投
rwf,1=拊
rwg,1=捡
rwgd,1=揆
rwgg,1=拴
rwgj,1=揄
rwgk,1=拾
rwgr,1=搿
rwv,1=氛
rwvr,1=掰
rwvt,1=扮
rww,1=挫
rwx,1=抡
rwy,1=扒
rwyb,1=携
rwyc,1=擒
rwyc,2=拎
rwyg,1=推
rwyn,1=捻
rx,1=指
rxe,1=拗
rxey,1=掾
rxjh,1=拂
rxjk,1=氟
rxm,1=掼
rxu,1=搦
rxx,1=批
rxxr,1=揩
rxy,1=拇
ry,1=搞
ryc,1=撤
ryg,1=拄
ryi,1=斥
ryiy,1=掠
ryj,1=挤
ryk,1=攘
ryl,1=擅
ryn,1=护
rynd,1=捩
ryne,1=掮
rynw,1=氦
ryt,1=邀
ryty,1=敫
ryu,1=乓
ryud,1=摘
ryw,1=抗
rywy,1=掖
ryx,1=摔
ryxl,1=搐
s,1=要
sa,1=模
saa,1=械
sab,1=栉
sag,1=杠
sagg,1=框
sah,1=榧
sai,1=栋
sak,1=槿
sam,1=横
san,1=柜
sap,1=檬
saq,1=柩
sar,1=枢
sat,1=桡
sb,1=李
sbb,1=椰
sbc,1=楹
sbd,1=椭
sby,1=极
sc,1=权
sce,1=桶
scf,1=树
scfg,1=柽
scg,1=杩
scn,1=杷
scnh,1=杼
scnk,1=橘
scnn,1=懋
scw,1=梭
scyy,1=杈
sd,1=顶
sde,1=枥
sdg,1=枯
sdg,2=柘
sdgf,1=橱
sdh,1=杯
sdhd,1=楔
sdhi,1=槭
sds,1=椅
sdt,1=梆
sdu,1=橛
sdw,1=棋
sdwd,1=楱
sdwg,1=棒
sdwj,1=椿
sdwn,1=椹
sdwt,1=榛
sdx,1=栊
sdy,1=杖
se,1=杉
seb,1=桴
see,1=棚
seee,1=橇
seg,1=桕
sek,1=枷
sf,1=票
sfb,1=鄄
sfc,1=枝
sff,1=桂
